Player 3 Alive on pool-1-thread-3
Player 3 Initial Hand 3 2 1 2 
Player 3 Draws a 2 from Deck 3
Player 3 Discards a 2 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 2 from Deck 3
Player 3 Discards a 2 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 2 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 ran out of cards to draw
Player 3 Draws a 2 from Deck 3
Player 3 Discards a 2 to Deck 1
Player 3 ran out of cards to draw
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 2 from Deck 3
Player 3 Discards a 2 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 ran out of cards to draw
Player 3 ran out of cards to draw
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 ran out of cards to draw
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 Draws a 2 from Deck 3
Player 3 Discards a 2 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 2 from Deck 3
Player 3 Discards a 2 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 3 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 1 from Deck 3
Player 3 Discards a 1 to Deck 1
Player 3 Draws a 2 from Deck 3
Player 3 Discards a 2 to Deck 1
Player 3 Draws a 3 from Deck 3
Player 3 Discards a 2 to Deck 1
Player 3 has won the game
Player 3 Has Exited
Player 3 Final Hand 3 3 3 3 
